SYMBOL,COMPANY,SECTOR,INDUSTRY
MPHASIS,MphasiS Ltd.,Information Technology,
MRF,MRF Ltd.,Automobile and Auto Components,
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,
MSTCLTD,MSTC Ltd.,Services,
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,
MTARTECH,MTAR Technologies Ltd.,Capital Goods,
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,
NAUKRI,Info Edge (India) Ltd.,Consumer Services,
NAVA,Nava Ltd.,Power,
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,
NAZARA,Nazara Technologies Ltd.,Media Entertainment & Publication,
NBCC,NBCC (India) Ltd.,Construction,
NCC,NCC Ltd.,Construction,
NEOGEN,NEOGEN CHEMICALS LTD.,Chemicals,
NESCO,NESCO Ltd.,Services,
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,
NETWEB,Netweb Technologies India Ltd.,Information Technology,
NETWORK18,Network18 Media & Investments Ltd.,Media Entertainment & Publication,
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,
NFL,National Fertilizers Ltd.,Chemicals,
NH,Narayana Hrudayalaya Ltd.,Healthcare,
NHPC,NHPC Ltd.,Power,
NIACL,The New India Assurance Company Ltd.,Financial Services,
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,
NLCINDIA,NLC India Ltd.,Power,
NMDC,NMDC Ltd.,Metals & Mining,
NSLNISP,NMDC Steel Ltd.,Metals & Mining,
NTPC,NTPC Ltd.,Power,
NTPCGREEN,NTPC Green Energy Ltd.,Power,
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,
OBEROIRLTY,Oberoi Realty Ltd.,Realty,
OFSS,Oracle Financial Services Software Ltd.,Information Technology,
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,
OPTIEMUS,Optiemus Infracom Ltd.,Telecommunication,
ORIENTCEM,Orient Cement Ltd.,Construction Materials,
ORKLAINDIA,Orkla India Ltd.,Fast Moving Consumer Goods,
OSWALPUMPS,Oswal Pumps Ltd.,Capital Goods,
PAGEIND,Page Industries Ltd.,Textiles,
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,
PARAS,Paras Defence and Space Technologies Ltd.,Capital Goods,
PARKHOSPS,Park Medi World Ltd.,Healthcare,
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,
PAYTM,One 97 Communications Ltd.,Financial Services,
PCBL,PCBL Chemical Ltd.,Chemicals,
PCJEWELLER,PC Jeweller Ltd.,Consumer Durables,
PERSISTENT,Persistent Systems Ltd.,Information Technology,
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,
PFC,Power Finance Corporation Ltd.,Financial Services,
PFIZER,Pfizer Ltd.,Healthcare,
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication,
PGEL,PG Electroplast Ltd.,Consumer Durables,
PGIL,Pearl Global Industries Ltd.,Textiles,
PHOENIXLTD,Phoenix Mills Ltd.,Realty,
PICCADIL,Piccadily Agro Industries Ltd.,Fast Moving Consumer Goods,
PIDILITIND,Pidilite Industries Ltd.,Chemicals,
PIIND,PI Industries Ltd.,Chemicals,
PINELABS,Pine Labs Ltd.,Financial Services,
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,
PNB,Punjab National Bank,Financial Services,
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,
PNCINFRA,PNC Infratech Ltd.,Construction,
PNGJL,P N Gadgil Jewellers Ltd.,Consumer Durables,
POLICYBZR,PB Fintech Ltd.,Financial Services,
POLYCAB,Polycab India Ltd.,Capital Goods,
POLYMED,Poly Medicure Ltd.,Healthcare,
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,
POWERGRID,Power Grid Corporation of India Ltd.,Power,
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,
POWERMECH,Power Mech Projects Ltd.,Construction,
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,
PRAJIND,Praj Industries Ltd.,Capital Goods,
PREMIERENE,Premier Energies Ltd.,Capital Goods,
PRESTIGE,Prestige Estates Projects Ltd.,Realty,
PRICOLLTD,Pricol Ltd.,Automobile and Auto Components,
PRIVISCL,Privi Speciality Chemicals Ltd.,Chemicals,
PRSMJOHNSN,Prism Johnson Ltd.,Construction Materials,
PRUDENT,Prudent Corporate Advisory Services Ltd.,Financial Services,
PTC,PTC India Ltd.,Power,
PTCIL,PTC Industries Ltd.,Capital Goods,
PURVA,Puravankara Ltd.,Realty,
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,
PWL,Physicswallah Ltd.,Consumer Services,
QPOWER,QUALITY POWER ELECTRICAL EQUIPMENTS Ltd.,Capital Goods,
QUESS,Quess Corp Ltd.,Services,
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,
RAIN,Rain Industries Ltd,Chemicals,
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,
RALLIS,Rallis India Ltd.,Chemicals,
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,
RATEGAIN,Rategain Travel Technologies Ltd.,Information Technology,
RATNAMANI,Ratnamani Metals & Tubes Ltd.,Capital Goods,
RAYMONDLSL,Raymond Lifestyle Ltd.,Textiles,
RBA,Restaurant Brands Asia Ltd.,Consumer Services,
RBLBANK,RBL Bank Ltd.,Financial Services,
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,
RECLTD,REC Ltd.,Financial Services,
REDINGTON,Redington Ltd.,Services,
REDTAPE,Redtape Ltd.,Consumer Durables,
REFEX,Refex Industries Ltd.,Utilities,
RELAXO,Relaxo Footwears Ltd.,Consumer Durables,
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,
RELIGARE,Religare Enterprises Ltd.,Financial Services,
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,
RITES,RITES Ltd.,Construction,
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,
ROUTE,Route Mobile Ltd.,Telecommunication,
RPOWER,Reliance Power Ltd.,Power,
RRKABEL,R R Kabel Ltd.,Capital Goods,
RTNINDIA,RattanIndia Enterprises Ltd.,Consumer Services,
RTNPOWER,RattanIndia Power Ltd.,Power,
RUBICON,Rubicon Research Ltd.,Healthcare,
RVNL,Rail Vikas Nigam Ltd.,Construction,
SAATVIKGL,Saatvik Green Energy Ltd.,Capital Goods,
SAFARI,Safari Industries (India) Ltd.,Consumer Durables,
SAGILITY,Sagility Ltd.,Information Technology,
SAIL,Steel Authority of India Ltd.,Metals & Mining,
SAILIFE,Sai Life Sciences Ltd.,Healthcare,
SAMHI,Samhi Hotels Ltd.,Consumer Services,
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,
SANDUMA,Sandur Manganese & Iron Ores Ltd.,Metals & Mining,
SANOFICONR,Sanofi Consumer Healthcare India Ltd.,Healthcare,
SANSERA,Sansera Engineering Ltd.,Automobile and Auto Components,
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,
SBFC,SBFC Finance Ltd.,Financial Services,
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,
SBIN,State Bank of India,Financial Services,
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,
SCI,Shipping Corporation of India Ltd.,Services,
SENCO,Senco Gold Ltd.,Consumer Durables,
SFL,Sheela Foam Ltd.,Consumer Durables,
SHAILY,Shaily Engineering Plastics Ltd.,Consumer Durables,
SHAKTIPUMP,Shakti Pumps (India) Ltd.,Capital Goods,
SHARDACROP,Sharda Cropchem Ltd.,Chemicals,
SHAREINDIA,Share India Securities Ltd.,Financial Services,
SHILPAMED,Shilpa Medicare Ltd.,Healthcare,
SHREECEM,Shree Cement Ltd.,Construction Materials,
SHRIPISTON,SPR Auto Technologies Ltd.,Automobile and Auto Components,
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,
SIEMENS,Siemens Ltd.,Capital Goods,
SIGNATURE,Signatureglobal (India) Ltd.,Realty,
SJVN,SJVN Ltd.,Power,
SKFINDIA,SKF India Ltd.,Automobile and Auto Components,
SKFINDUS,SKF India (Industrial) Ltd.,Capital Goods,
SKIPPER,Skipper Ltd.,Capital Goods,
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,
SMARTWORKS,Smartworks Coworking Spaces Ltd.,Services,
SMLMAH,SML Mahindra Ltd.,Capital Goods,
SOBHA,Sobha Ltd.,Realty,
SOLARINDS,Solar Industries India Ltd.,Chemicals,
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,
SONATSOFTW,Sonata Software Ltd.,Information Technology,
SOUTHBANK,South Indian Bank Ltd.,Financial Services,
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,
SRF,SRF Ltd.,Chemicals,
STAR,Strides Pharma Science Ltd.,Healthcare,
STARCEMENT,Star Cement Ltd.,Construction Materials,
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,
STLTECH,Sterlite Technologies Ltd.,Telecommunication,
STYL,Seshaasai Technologies Ltd.,Financial Services,
STYRENIX,Styrenix Performance Materials Ltd.,Chemicals,
SUBROS,Subros Ltd.,Capital Goods,
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,Chemicals,
SUDEEPPHRM,Sudeep Pharma Ltd.,Chemicals,
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,
SUNTECK,Sunteck Realty Ltd.,Realty,
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,
SURYAROSNI,Surya Roshni Ltd.,Capital Goods,
SUZLON,Suzlon Energy Ltd.,Capital Goods,
SWANCORP,Swan Corp Ltd.,Chemicals,
SWIGGY,Swiggy Ltd.,Consumer Services,
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,
SYNGENE,Syngene International Ltd.,Healthcare,
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,
TANLA,Tanla Platforms Ltd.,Information Technology,
TARC,TARC Ltd.,Realty,
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,
TATACAP,Tata Capital Ltd.,Financial Services,
TATACHEM,Tata Chemicals Ltd.,Chemicals,
TATACOMM,Tata Communications Ltd.,Telecommunication,
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,
TATAELXSI,Tata Elxsi Ltd.,Information Technology,
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,
TATAPOWER,Tata Power Co. Ltd.,Power,
TATASTEEL,Tata Steel Ltd.,Metals & Mining,
TATATECH,Tata Technologies Ltd.,Information Technology,
TBOTEK,TBO Tek Ltd.,Consumer Services,
TCS,Tata Consultancy Services Ltd.,Information Technology,
TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,
TECHM,Tech Mahindra Ltd.,Information Technology,
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,
TEGA,Tega Industries Ltd.,Capital Goods,
TEJASNET,Tejas Networks Ltd.,Telecommunication,
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,
TEXRAIL,Texmaco Rail & Eng. Ltd.,Capital Goods,
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,
THERMAX,Thermax Ltd.,Capital Goods,
THOMASCOOK,Thomas Cook (India) Ltd.,Consumer Services,
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,
TI,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,
TIMETECHNO,Time Technoplast Ltd.,Capital Goods,
TIMKEN,Timken India Ltd.,Capital Goods,
TIPSMUSIC,Tips Music Ltd.,Media Entertainment & Publication,
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,
TITAN,Titan Company Ltd.,Consumer Durables,
TMB,Tamilnad Mercantile Bank Ltd.,Financial Services,
TMCV,Tata Motors Ltd.,Capital Goods,
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,
TORNTPOWER,Torrent Power Ltd.,Power,
TRANSRAILL,Transrail Lighting Ltd.,Capital Goods,
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,
TRENT,Trent Ltd.,Consumer Services,
TRIDENT,Trident Ltd.,Textiles,
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,
TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,
TSFINV,TSF Investments Ltd.,Financial Services,
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,
TVSSCS,TVS Supply Chain Solutions Ltd.,Services,
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,
UCOBANK,UCO Bank,Financial Services,
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,
UNIONBANK,Union Bank of India,Financial Services,
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,
UPL,UPL Ltd.,Chemicals,
URBANCO,Urban Company Ltd.,Consumer Services,
USHAMART,Usha Martin Ltd.,Capital Goods,
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,
UTLSOLAR,Fujiyama Power Systems Ltd.,Capital Goods,
V2RETAIL,V2 Retail Ltd.,Consumer Services,
VAIBHAVGBL,Vaibhav Global Ltd.,Consumer Durables,
VARROC,Varroc Engineering Ltd.,Automobile and Auto Components,
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,
VEDL,Vedanta Ltd.,Metals & Mining,
VGUARD,V-Guard Industries Ltd.,Consumer Durables,
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,
VIKRAMSOLR,Vikram Solar Ltd.,Capital Goods,
VIPIND,V.I.P. Industries Ltd.,Consumer Durables,
VIYASH,Viyash Scientific Ltd.,Healthcare,
VMART,V-Mart Retail Ltd.,Consumer Services,
VMM,Vishal Mega Mart Ltd.,Consumer Services,
VOLTAMP,Voltamp Transformers Ltd,Capital Goods,
VOLTAS,Voltas Ltd.,Consumer Durables,
VTL,Vardhman Textiles Ltd.,Textiles,
WAAREEENER,Waaree Energies Ltd.,Capital Goods,
WAAREERTL,Waaree Renewable Technologies Ltd.,Capital Goods,
WABAG,Va Tech Wabag Ltd.,Utilities,
WAKEFIT,Wakefit Innovations Ltd.,Consumer Durables,
WEBELSOLAR,Websol Energy System Ltd.,Capital Goods,
WELCORP,Welspun Corp Ltd.,Capital Goods,
WELENT,Welspun Enterprises Ltd.,Construction,
WELSPUNLIV,Welspun Living Ltd.,Textiles,
WESTLIFE,Westlife Foodworld Ltd.,Consumer Services,
WEWORK,WeWork India Management Ltd.,Services,
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,
WIPRO,Wipro Ltd.,Information Technology,
WOCKPHARMA,Wockhardt Ltd.,Healthcare,
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,
YESBANK,Yes Bank Ltd.,Financial Services,
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,
ZENTEC,Zen Technologies Ltd.,Capital Goods,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,
